Date,Futures_Price,USD_Spot_Price,USD_INR,Spot_INR_oz,Spot_INR_10g,Basis,RF,F_theoretical,Arbitrage,Cash_Carry,Reverse_Carry,Spot_Return,Futures_Return,RollingVol
2020-07-02,48437,1776.13,74.75,132765.7175,42685.13752471587,5751.862475284128,0.0013300000131130218,42760.03663838222,5676.963361617782,True,False,-0.0065744659968919004,0.0007641707570562814,0.00849681320038122
2020-07-06,48247,1783.9,74.635,133141.3765,42805.91460768081,5441.08539231919,0.0012800000607967378,42880.84942462504,5366.150575374959,True,False,0.002825492500172797,-0.003930334793468539,0.008166315064465579
2020-07-07,48796,1795.26,74.81,134303.4006,43179.51375247159,5616.48624752841,0.0014000000059604645,43255.52920903381,5540.470790966188,True,False,0.008689879271641035,0.011314692600317191,0.008118987883611711
2020-07-08,49160,1810.78,74.945,135708.90709999998,43631.39424823572,5528.605751764277,0.0013500000536441803,43708.02559644965,5451.974403550354,True,False,0.010410778727243181,0.007431942411342937,0.0072963127470256845
2020-07-09,48896,1803.19,75.155,135518.74445,43570.25558216921,5325.744417830792,0.0012300000339746475,43646.34906366709,5249.65093633291,True,False,-0.0014022366825246493,-0.005384691153778776,0.007299780315349308
2020-07-10,48883,1798.89,75.195,135267.53355,43489.48946260067,5393.510537399328,0.0011999999731779098,43565.334467999484,5317.665532000516,True,False,-0.0018554187747118391,-0.00026590576865377294,0.007321426178537364
2020-07-13,49180,1803.39,75.212,135636.56868000003,43608.13692349736,5571.863076502639,0.00125,43684.368372784804,5495.631627215196,True,False,0.0027244722780752403,0.006057349012644886,0.007302804363942163
2020-07-14,49277,1807.78,75.406,136317.45868,43827.047978523326,5449.952021476674,0.0013300000131130218,43903.95078916328,5373.049210836718,True,False,0.005007400915018297,0.0019704039607842997,0.0072910203155188225
2020-07-15,49182,1811.9,75.125,136118.98750000002,43763.238060025404,5418.761939974596,0.00125,43839.740641841265,5342.259358158735,True,False,-0.001457009279732651,-0.001929737849882319,0.006838204358199669
2020-07-16,48811,1797.05,75.18,135102.219,43436.33964023342,5374.660359766582,0.001030000001192093,43511.48398032624,5299.516019673763,True,False,-0.007497741613563618,-0.007572005604761563,0.006405617403159959
2020-07-17,49001,1809.9,74.898,135557.8902,43582.8412236565,5418.158776343502,0.0010499999672174453,43658.31077661485,5342.689223385147,True,False,0.003367113327924739,0.003885008771461195,0.006246706729348114
2020-07-20,49067,1816.09,74.75,135752.7275,43645.482823476465,5421.517176523535,0.0010499999672174453,43721.06084879234,5345.939151207662,True,False,0.0014362676635756742,0.0013460050162033858,0.005511613980990327
2020-07-21,49559,1842.22,74.54,137319.07880000002,44149.07608468501,5409.92391531499,0.0010999999940395355,44225.70789869171,5333.292101308289,True,False,0.011472209455463702,0.009977167912969924,0.0057660815763144555
2020-07-22,50115,1872.07,74.61,139675.1427,44906.567653158,5208.432346841997,0.0010000000149011613,44984.1445499644,5130.855450035597,True,False,0.017012056853412776,0.011156485482008077,0.006083510528697121
2020-07-23,50762,1887.44,74.815,141208.8236,45399.65714469433,5362.342855305673,0.001030000001192093,45478.19800022761,5283.8019997723895,True,False,0.010920496189593981,0.012827678696385129,0.005852332617202378
2020-07-24,51120,1901.46,74.76,142153.1496,45703.26477727587,5416.735222724128,0.0009799999743700027,45782.14272404701,5337.8572759529925,True,False,0.006665181536384161,0.007027766896064604,0.005863670753130204
2020-07-27,52227,1942.42,74.8,145293.016,46712.754513157684,5514.245486842316,0.0009300000220537186,46793.18240819277,5433.81759180723,True,False,0.02184750862273926,0.021423792475411298,0.006830894255414473
2020-07-28,52731,1959.5,74.909,146784.18550000002,47192.17628241195,5538.8237175880495,0.001030000001192093,47273.818174285385,5457.181825714615,True,False,0.010210878824853858,0.009603915354180353,0.006801058121072996
2020-07-29,53207,1970.73,74.948,147702.27203999998,47487.34773900043,5719.652260999574,0.0009000000357627869,47568.9919999076,5638.008000092399,True,False,0.006235190046317966,0.008986448740345732,0.006814188999973931
2020-07-30,52986,1960.5,74.876,146794.39800000002,47195.459674956204,5790.540325043796,0.0008500000089406968,47276.4078101283,5709.592189871699,True,False,-0.006165617532666719,-0.004162238924496573,0.007027866106791669
2020-07-31,53582,1975.89,74.918,148029.72702000002,47592.62688121916,5989.373118780837,0.0008299999684095383,47674.177856080336,5907.822143919664,True,False,0.008380157148709967,0.01118546306604952,0.007026912125293135
2020-08-03,53927,1977.25,75.185,148659.54125,47795.116707122994,6131.883292877006,0.0007800000160932541,47876.817898329704,6050.182101670296,True,False,0.004245621553630742,0.006418089355597608,0.006930776957300656
2020-08-04,54784,2018.52,75.061,151512.12972000003,48712.24451267543,6071.755487324568,0.0009000000357627869,48795.99471961951,5988.0052803804865,True,False,0.0190069525112031,0.01576690038290954,0.0074407246171207374
2020-08-05,55597,2040.4,74.798,152617.83920000002,49067.738100213806,6529.261899786194,0.000949999988079071,49152.30149692463,6444.698503075371,True,False,0.0072713278188097,0.01473106244700501,0.007455696445870268
2020-08-06,56117,2063.81,74.9,154579.369,49698.38410468275,6418.615895317249,0.0008799999952316285,49783.747929611,6333.252070388997,True,False,0.01277066591998467,0.009309553960990178,0.007537272836960162
2020-08-07,55018,2035.03,75.025,152678.12575,49087.12066166187,5930.879338338127,0.0008799999952316285,49171.4345573726,5846.565442627398,True,False,-0.012375727514601689,-0.01977839250956578,0.008100717371771121
2020-08-10,55243,2027.77,74.875,151829.27875,48814.21021749964,6428.78978250036,0.0008799999952316285,48898.05535190563,6344.944648094373,True,False,-0.005575228622968483,0.0040812311208551855,0.008303494634059248
2020-08-11,52144,1911.64,74.62,142646.5768,45861.90518751909,6282.094812480907,0.0010000000149011613,45941.13244696044,6202.867553039563,True,False,-0.062386643328462534,-0.0577325134433556,0.014712726631189235
2020-08-12,52505,1918.07,74.795,143462.04565,46124.08431526998,6380.915684730018,0.0010000000149011613,46203.764493832095,6301.2355061679045,True,False,0.00570042979642237,0.0068992810627510675,0.014712375890657438
2020-08-13,53148,1954.0,74.812,146182.648,46998.77762952722,6149.22237047278,0.0009000000357627869,47079.58189941808,6068.418100581919,True,False,0.018786343569284436,0.012172071571104734,0.014910047827022684
2020-08-14,52451,1944.29,74.903,145633.15387,46822.111296156385,5628.888703843615,0.0008799999952316285,46902.53472608194,5548.46527391806,True,False,-0.0037660385485430636,-0.013201074291574461,0.014856647280752717
2020-08-17,53435,1986.2,74.744,148456.53280000002,47729.84802353434,5705.151976465662,0.0008500000089406968,47811.71272442214,5623.287275577859,True,False,0.01920139198497444,0.018586561539373127,0.015144886715150923
2020-08-18,53738,2001.2,74.575,149239.49000000002,47981.57442088511,5756.42557911489,0.0010000000149011613,48064.46344674446,5673.536553255537,True,False,0.005260124054949382,0.0056544242916694515,0.015118290603111467
2020-08-19,52824,1929.82,74.847,144441.23753999997,46438.90158342308,6385.098416576919,0.000949999988079071,46518.93444023408,6305.065559765921,True,False,-0.03267956681193058,-0.01715475337625933,0.016430547164667287
2020-08-20,52302,1943.6,75.013,145795.2668,46874.231774559135,5427.768225440865,0.0008799999952316285,46954.74472859043,5347.255271409573,True,False,0.009330591177973566,-0.009931021634776195,0.016468943663801264
2020-08-21,52045,1940.16,74.922,145360.66752,46734.5049656791,5310.495034320898,0.0008799999952316285,46814.77791965675,5230.22208034325,True,False,-0.0029853391364763364,-0.004925882290062305,0.016480385573436195
2020-08-24,51385,1933.09,74.169,143375.35220999998,46096.211747874026,5288.788252125974,0.0008500000089406968,46175.27448834074,5209.725511659257,True,False,-0.013751984250822575,-0.012762427890395313,0.016741629113896008
2020-08-25,50936,1928.19,74.223,143116.04637,46012.84304660247,4923.156953397527,0.000949999988079071,46092.141633637315,4843.858366362685,True,False,-0.0018102177733426577,-0.008776358362312211,0.016743557686489195
2020-08-26,51619,1954.03,74.222,145032.01466,46628.84069638464,4990.159303615357,0.0009300000220537186,46709.124112428544,4909.875887571456,True,False,0.013298694570375915,0.013319879051793607,0.016866261937012933
2020-08-27,50507,1929.2,73.904,142575.5968,45839.084604626485,4667.915395373515,0.000949999988079071,45918.08373616105,4588.9162638389535,True,False,-0.017082145907573256,-0.02177788122983127,0.01714311023887958
2020-08-28,51050,1964.89,73.115,143662.93235,46188.670840902145,4861.329159097855,0.000949999988079071,46268.27244976147,4781.727550238531,True,False,0.007597445273453001,0.01069360407398782,0.01717386101544418
2020-08-31,51099,1970.15,73.257,144327.27855000002,46402.26294468469,4696.737055315309,0.000949999988079071,46482.23265842322,4616.767341576779,True,False,0.0046136802800723345,0.000959382935875302,0.01718047124303879
2020-09-01,51017,1970.49,73.004,143853.65196000002,46249.9885736332,4767.0114263668,0.0010000000149011613,46329.88625404792,4687.113745952083,True,False,-0.003287011500733879,-0.001606017032103743,0.0171122925719486
